num_joins,num_where,has_order_by,has_group_by,query_length,rows_examined,using_filesort,using_temporary,index_count,buffer_pool_hit_ratio,connections_count,hour_of_day,day_of_week,access_type,is_slow,execution_time
0,0,0,0,189,300012,0,0,0.0,0.9914,2,23,5,UNKNOWN,1,1.80178
0,0,0,0,173,300012,0,0,0.0,0.9914,2,23,5,UNKNOWN,1,2.11601
0,0,0,0,136,300012,0,0,0.0,0.9914,2,23,5,UNKNOWN,1,1.68012
0,0,0,0,151,300012,0,0,0.0,0.9914,2,23,5,UNKNOWN,1,1.26418
2,0,0,0,121,393836,0,0,0.0,0.9918,2,23,5,UNKNOWN,1,3.36121
0,1,0,0,63,300003,0,0,0.0,0.9918,2,23,5,UNKNOWN,1,1.33397
2,0,0,0,133,4967,0,0,0.0,0.9918,2,23,5,UNKNOWN,1,15.7406
0,1,0,0,79,300012,0,0,0.0,0.9918,2,23,5,UNKNOWN,1,1.62525
1,0,0,1,144,900036,0,0,0.0,0.9918,2,23,5,UNKNOWN,1,3.31024
1,0,0,1,175,900052,0,0,0.0,0.9916,2,23,5,UNKNOWN,1,3.20419
1,0,0,1,125,346924,0,0,0.0,0.9917,2,23,5,UNKNOWN,1,3.17746
0,0,0,0,153,300012,0,0,0.0,0.9935,2,23,5,UNKNOWN,1,1.20967
0,0,0,0,145,300012,0,0,0.0,0.9935,2,23,5,UNKNOWN,1,1.20859
0,0,0,0,106,88802,0,0,0.0,0.9933,2,23,5,UNKNOWN,1,1.92267
2,1,1,1,323,33148,0,0,0.0,0.9927,2,0,6,UNKNOWN,1,12.8886
3,1,1,1,403,1077139,0,0,0.0,0.9927,2,0,6,UNKNOWN,1,2.05104
2,1,1,1,352,845067,0,0,0.0,0.9915,2,0,6,UNKNOWN,1,2.79325
1,1,1,1,351,90000,0,0,0.0,0.9915,2,0,6,UNKNOWN,1,7.68052
3,0,1,1,353,831482,0,0,0.0,0.9915,2,0,6,UNKNOWN,1,2.81774
0,5,1,0,375,95933,0,0,0.0,0.9915,2,0,6,UNKNOWN,1,1.34242
0,4,1,0,447,674776,0,0,0.0,0.9915,2,0,6,UNKNOWN,1,91.8128
0,5,1,0,421,762031,0,0,0.0,0.9915,2,0,6,UNKNOWN,1,5.39342
0,3,1,1,414,7500314,0,0,0.0,0.9915,2,0,6,UNKNOWN,1,9.24137
0,3,1,1,484,1376071,0,0,0.0,0.9915,2,0,6,UNKNOWN,1,1.14324
0,3,1,1,350,11100463,0,0,0.0,0.9915,2,0,6,UNKNOWN,1,13.1087
0,3,1,1,371,3629514,0,0,0.0,0.9915,2,0,6,UNKNOWN,1,1.20836
0,5,1,1,501,3878553,0,0,0.0,0.9915,2,0,6,UNKNOWN,1,1.80815
3,0,1,1,638,307428,0,0,0.0,0.9915,2,0,6,UNKNOWN,1,1.01137
1,3,1,0,538,992853,0,0,0.0,0.9915,2,0,6,UNKNOWN,1,9.67438
0,1,1,0,344,1200048,0,0,0.0,0.9915,2,0,6,UNKNOWN,1,6.42526
0,0,1,0,319,1200048,0,0,0.0,0.9915,2,0,6,UNKNOWN,1,6.22914
0,1,1,0,176,600016,0,0,0.0,0.9915,2,0,6,UNKNOWN,1,7.04638
0,1,1,0,303,1199688,0,0,0.0,0.9926,2,0,6,UNKNOWN,1,2.77331
1,1,1,0,354,119499,0,0,0.0,0.9926,2,0,6,UNKNOWN,1,7.26146
0,2,1,0,251,355841,0,0,0.0,0.9921,2,0,6,UNKNOWN,1,2.88196
0,0,1,1,284,558625,0,0,0.0,0.9922,2,0,6,UNKNOWN,1,62.1455
6,0,1,1,617,3261433,0,0,0.0,0.9922,2,0,6,UNKNOWN,1,9.12396
1,1,1,0,402,903444,0,0,0.0,0.9923,2,0,6,UNKNOWN,1,2.55404
2,2,1,1,722,1271756,0,0,0.0,0.9923,2,0,6,UNKNOWN,1,4.61349
